station_test,station_test_CBR,station,test,replicate,cbr_time,time_since_test0,CBR
STA1_test0,STA1_test0_CBR1,STA1,test0,1,7:52 AM,0.00,7.8
STA1_test1,STA1_test1_CBR1,STA1,test1,1,1:37 PM,5.75,8.4
STA1_test2,STA1_test2_CBR1,STA1,test2,1,7:06 AM,23.23,7.8
STA1_test2,STA1_test2_CBR2,STA1,test2,1,7:22 AM,23.50,11.9
STA1_test3,STA1_test3_CBR1,STA1,test3,1,10:33 AM,26.68,14.4
STA1_test4,STA1_test4_CBR1,STA1,test4,1,2:36 PM,30.73,12.9
STA1_test0,STA1_test0_CBR2,STA1,test0,2,8:36 AM,0.00,8.4
STA1_test1,STA1_test1_CBR2,STA1,test1,2,2:04 PM,5.47,9.9
STA1_test2,STA1_test2_CBR3,STA1,test2,2,7:45 AM,23.15,10.5
STA1_test3,STA1_test3_CBR2,STA1,test3,2,11:02 AM,26.43,13
STA1_test3,STA1_test3_CBR3,STA1,test3,3,11:28 AM,26.47,18.9
STA1_test4,STA1_test4_CBR2,STA1,test4,2,2:54 PM,30.30,11.2
STA1_test0,STA1_test0_CBR3,STA1,test0,3,9:00 AM,0.00,10.5
STA1_test1,STA1_test1_CBR3,STA1,test1,3,2:33 PM,5.55,14.5
STA1_test1,STA1_test1_CBR4,STA1,test1,4,3:00 PM,27.25,9.9
STA1_test1,STA1_test1_CBR5,STA1,test1,3,3:36 PM,6.60,7.8
STA1_test2,STA1_test2_CBR4,STA1,test2,3,8:09 AM,23.15,13.1
STA1_test3,STA1_test3_CBR4,STA1,test3,3,12:00 PM,27.00,10.5
STA1_test4,STA1_test4_CBR3,STA1,test4,3,3:10 PM,30.17,15.1
STA2_test0,STA2_test0_CBR1,STA2,test0,1,10:51 AM,0.00,7.1
STA2_test1,STA2_test1_CBR1,STA2,test1,1,4:05 PM,5.23,9.2
STA2_test2,STA2_test2_CBR1,STA2,test2,1,8:43 AM,21.87,6.7
STA2_test2,STA2_test2_CBR2,STA2,test2,1,9:06 AM,22.25,13.1
STA2_test3,STA2_test3_CBR1,STA2,test3,1,1:35 PM,26.73,15.1
STA2_test4,STA2_test4_CBR1,STA2,test4,1,3:36 PM,28.75,19
STA2_test0,STA2_test0_CBR2,STA2,test0,2,11:17 AM,0.00,8.1
STA2_test1,STA2_test1_CBR2,STA2,test1,2,4:30 PM,5.22,7.9
STA2_test2,STA2_test2_CBR3,STA2,test2,2,9:29 AM,22.20,16.2
STA2_test3,STA2_test3_CBR2,STA2,test3,2,1:55 PM,26.63,19
STA2_test4,STA2_test4_CBR2,STA2,test4,2,4:09 PM,28.27,21.4
STA2_test0,STA2_test0_CBR3,STA2,test0,3,11:45 AM,0.00,10.1
STA2_test1,STA2_test1_CBR3,STA2,test1,3,5:02 PM,5.28,8
STA2_test2,STA2_test2_CBR4,STA2,test2,3,9:56 AM,22.18,12.6
STA2_test3,STA2_test3_CBR3,STA2,test3,3,2:14 PM,26.48,18.9
STA2_test4,STA2_test4_CBR3,STA2,test4,3,4:36 PM,28.85,13.9
