"station_test","hours_avg","CBR","mean_rsp","station","test"
"STA1_test0",0,8.9,27.7916666666667,"STA1","Test 0"
"STA1_test1",6.3,8.7,34.2692307692308,"STA1","Test 1"
"STA1_test2",23.3,11.8,35.7857142857143,"STA1","Test 2"
"STA1_test3",26.7,12.6,29.8292682926829,"STA1","Test 3"
"STA1_test4",30.4,13.1,30.1219512195122,"STA1","Test 4"
"STA2_test0",0,8.4,28.7037037037037,"STA2","Test 0"
"STA2_test1",5.2,8.4,37.3333333333333,"STA2","Test 1"
"STA2_test2",21.9,14,39.58,"STA2","Test 2"
"STA2_test3",26.6,17.7,40.3518518518519,"STA2","Test 3"
"STA2_test4",28.8,18.1,42.4814814814815,"STA2","Test 4"
