sample_id,cbr_id,test_area,test_id,CBR_id,rep,depth_from_surface,rsp_index
STA1_test0_CBR1_r1,STA1_test0_CBR1,STA1,Test 0,CBR1,r1,50,38
STA1_test0_CBR1_r1,STA1_test0_CBR1,STA1,Test 0,CBR1,r1,75,38
STA1_test0_CBR1_r1,STA1_test0_CBR1,STA1,Test 0,CBR1,r1,125,21
STA1_test0_CBR1_r1,STA1_test0_CBR1,STA1,Test 0,CBR1,r1,300,8
STA1_test0_CBR1_r1,STA1_test0_CBR1,STA1,Test 0,CBR1,r1,400,12
STA1_test0_CBR1_r2,STA1_test0_CBR1,STA1,Test 0,CBR1,r2,100,15
STA1_test0_CBR1_r2,STA1_test0_CBR1,STA1,Test 0,CBR1,r2,200,12
STA1_test0_CBR1_r2,STA1_test0_CBR1,STA1,Test 0,CBR1,r2,350,9
STA1_test0_CBR1_r2,STA1_test0_CBR1,STA1,Test 0,CBR1,r2,400,21
STA1_test0_CBR1_r3,STA1_test0_CBR1,STA1,Test 0,CBR1,r3,50,21
STA1_test0_CBR1_r3,STA1_test0_CBR1,STA1,Test 0,CBR1,r3,125,15
STA1_test0_CBR1_r3,STA1_test0_CBR1,STA1,Test 0,CBR1,r3,175,21
STA1_test0_CBR1_r3,STA1_test0_CBR1,STA1,Test 0,CBR1,r3,225,21
STA1_test0_CBR1_r3,STA1_test0_CBR1,STA1,Test 0,CBR1,r3,325,12
STA1_test0_CBR1_r3,STA1_test0_CBR1,STA1,Test 0,CBR1,r3,400,15
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,100,12
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,125,38
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,225,12
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,250,38
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,275,38
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,325,21
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,375,21
STA1_test0_CBR2_r1,STA1_test0_CBR2,STA1,Test 0,CBR2,r1,400,38
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,50,21
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,125,15
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,150,38
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,200,21
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,250,21
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,300,21
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,350,21
STA1_test0_CBR3_r1,STA1_test0_CBR3,STA1,Test 0,CBR3,r1,400,21
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,50,21
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,125,15
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,150,38
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,175,38
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,225,21
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,250,38
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,300,21
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,350,21
STA1_test0_CBR3_r2,STA1_test0_CBR3,STA1,Test 0,CBR3,r2,400,21
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,50,21
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,100,21
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,125,38
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,150,73
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,175,38
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,200,38
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,250,21
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,275,38
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,350,15
STA1_test0_CBR3_r3,STA1_test0_CBR3,STA1,Test 0,CBR3,r3,400,21
